epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,24.9798,0.61421,1.36431,0.89589,1,0.72446,0.925,0.83544,0.51732,2.20796,0.85773,0.000822003,0.000822003,0.000822003
43,25.6091,0.68563,1.18987,0.93552,0.91661,0.79014,0.9575,0.8475,0.56899,2.1233,0.86831,0.000827782,0.000827782,0.000827782
44,26.1512,0.52651,1.1994,0.87858,0.9848,0.94429,0.995,0.84125,0.7102,1.99504,0.88337,0.000832902,0.000832902,0.000832902
45,26.6918,0.62243,1.17284,0.94496,0.95371,0.90292,0.995,0.83895,0.70416,1.95176,0.87781,0.000837361,0.000837361,0.000837361
46,27.2289,0.5176,1.13575,0.88531,0.93471,0.84322,0.98625,0.84892,0.66462,2.00688,0.86043,0.00084116,0.00084116,0.00084116
47,27.7655,0.56045,1.19424,0.87824,0.94666,0.94223,0.995,0.82962,0.77102,2.00997,0.92224,0.000844299,0.000844299,0.000844299
48,28.3059,0.54963,1.01196,0.8874,0.96057,0.92857,0.98625,0.76171,0.88672,1.78521,1.02598,0.000846778,0.000846778,0.000846778
49,28.8454,0.60154,1.30066,0.93184,0.9834,0.91878,0.98625,0.76933,0.84589,1.71885,0.98396,0.000848596,0.000848596,0.000848596
50,29.3874,0.62651,1.1259,0.96872,0.9759,0.92857,0.98625,0.79521,0.79188,1.65154,0.93601,0.000849755,0.000849755,0.000849755
51,29.9264,0.51582,0.97886,0.8744,0.98557,0.9999,0.995,0.83597,0.67203,1.37068,0.90603,0.000841835,0.000841835,0.000841835
