epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,46.6172,0.67451,0.59046,0.88632,0.99554,1,0.995,0.73103,1.06513,0.50215,1.05611,0.000973861,0.000973861,0.000973861
44,47.6651,0.69011,0.60565,0.88402,0.98957,0.99798,0.995,0.71938,1.04402,0.48377,1.07657,0.000957358,0.000957358,0.000957358
45,48.6825,0.6805,0.59176,0.8762,0.99002,0.99803,0.995,0.6918,1.07957,0.49172,1.10755,0.000940855,0.000940855,0.000940855
46,49.7045,0.63267,0.57915,0.86315,0.98593,0.9972,0.995,0.69061,1.0844,0.51863,1.12553,0.000924352,0.000924352,0.000924352
47,50.7322,0.66277,0.57148,0.87423,0.99115,0.96867,0.99026,0.70318,1.03546,0.51616,1.03198,0.000907848,0.000907848,0.000907848
48,51.8738,0.64826,0.5526,0.86892,0.96927,0.97169,0.995,0.73005,1.00767,0.52667,1,0.000891345,0.000891345,0.000891345
49,52.8836,0.66301,0.54569,0.8878,0.9734,0.98815,0.995,0.74758,0.98278,0.49766,0.99671,0.000874842,0.000874842,0.000874842
50,53.9039,0.64143,0.53245,0.87442,0.98705,1,0.995,0.73776,1.00576,0.46735,1.03387,0.000858338,0.000858338,0.000858338
51,54.9042,0.64164,0.52593,0.8644,0.98515,0.99841,0.995,0.7153,1.0621,0.46525,1.07652,0.000841835,0.000841835,0.000841835
52,55.9302,0.69007,0.55356,0.89572,0.99076,0.99847,0.995,0.73399,0.99919,0.42951,1.03004,0.000825332,0.000825332,0.000825332
53,56.9446,0.6342,0.54271,0.86523,0.98785,0.99652,0.995,0.73891,1.00128,0.4636,1.01268,0.000808828,0.000808828,0.000808828
54,57.9627,0.60866,0.51994,0.86208,0.9868,0.99667,0.995,0.75339,0.97032,0.45782,1.00761,0.000792325,0.000792325,0.000792325
55,58.9996,0.67001,0.54392,0.87821,0.98643,0.99765,0.995,0.74587,0.98298,0.4613,1.01829,0.000775822,0.000775822,0.000775822
56,60.0058,0.6319,0.52383,0.87504,0.99377,0.96875,0.99324,0.73803,1.0143,0.44831,1.03661,0.000759318,0.000759318,0.000759318
57,61.0062,0.60143,0.50323,0.86991,0.99612,0.96875,0.97521,0.72564,0.99851,0.46369,1.04311,0.000742815,0.000742815,0.000742815
58,62.0243,0.60769,0.51131,0.86665,0.99631,0.96875,0.99167,0.76244,0.92345,0.42865,1.00393,0.000726312,0.000726312,0.000726312
59,63.1897,0.63062,0.49882,0.86862,0.994,0.96875,0.97797,0.739,0.95407,0.45221,1.03937,0.000709809,0.000709809,0.000709809
60,64.2089,0.62314,0.49053,0.87198,0.99142,0.96875,0.97227,0.72246,0.98796,0.46597,1.05317,0.000693305,0.000693305,0.000693305
61,65.2288,0.57804,0.4813,0.85548,0.99695,0.96875,0.9694,0.69187,1.06746,0.4816,1.09691,0.000676802,0.000676802,0.000676802
62,66.2415,0.66202,0.51365,0.87565,0.9891,0.96875,0.99026,0.72767,0.99352,0.44039,1.04593,0.000660299,0.000660299,0.000660299
63,67.2454,0.6383,0.48411,0.87006,0.99374,0.99837,0.995,0.77336,0.90385,0.38301,1.00566,0.000643795,0.000643795,0.000643795
64,68.28,0.60685,0.48786,0.87906,0.9975,1,0.995,0.75579,0.95554,0.39265,1.02211,0.000627292,0.000627292,0.000627292
65,69.293,0.60904,0.46863,0.87249,0.99515,1,0.995,0.73763,0.9876,0.40101,1.0334,0.000610789,0.000610789,0.000610789
66,70.2984,0.5868,0.45225,0.8588,0.99193,1,0.995,0.75539,1.00545,0.40964,1.04395,0.000594286,0.000594286,0.000594286
67,71.3044,0.61442,0.48594,0.8768,0.9976,1,0.995,0.75066,0.97725,0.41025,0.99487,0.000577782,0.000577782,0.000577782
68,72.3177,0.55688,0.45815,0.84449,0.99007,0.99816,0.995,0.76427,0.94401,0.38902,0.97988,0.000561279,0.000561279,0.000561279
69,73.3234,0.57095,0.45751,0.87191,0.98787,0.99812,0.995,0.78778,0.91225,0.39714,0.9891,0.000544776,0.000544776,0.000544776
70,74.4703,0.5582,0.44071,0.86059,0.98719,0.99817,0.995,0.78867,0.9182,0.39703,0.98878,0.000528272,0.000528272,0.000528272
71,75.5004,0.58922,0.44652,0.86747,0.98742,0.99819,0.995,0.77085,0.94089,0.39943,1.00002,0.000511769,0.000511769,0.000511769
72,76.518,0.60977,0.46143,0.87513,0.98926,0.99831,0.995,0.77333,0.9428,0.38955,0.99768,0.000495266,0.000495266,0.000495266
73,77.5305,0.53251,0.42998,0.83906,0.99162,0.99867,0.995,0.76493,0.92936,0.3831,1.00083,0.000478762,0.000478762,0.000478762
74,78.5364,0.53276,0.43371,0.83842,0.99391,0.99927,0.995,0.77383,0.9349,0.37997,1.00537,0.000462259,0.000462259,0.000462259
75,79.5357,0.5402,0.42738,0.8577,0.99382,0.99948,0.995,0.7655,0.94237,0.38069,0.99252,0.000445756,0.000445756,0.000445756
76,80.5348,0.5591,0.42762,0.85372,0.99091,0.99868,0.995,0.77626,0.94192,0.37581,0.98166,0.000429253,0.000429253,0.000429253
77,81.5289,0.55623,0.43839,0.85558,0.98929,0.99837,0.995,0.76961,0.90427,0.37492,0.98277,0.000412749,0.000412749,0.000412749
78,82.5306,0.53834,0.42575,0.83674,0.98782,0.99822,0.995,0.77138,0.90181,0.37102,0.98894,0.000396246,0.000396246,0.000396246
79,83.5573,0.53206,0.41324,0.84716,0.98694,0.99817,0.995,0.77714,0.90456,0.38546,0.99929,0.000379743,0.000379743,0.000379743
80,84.5561,0.54586,0.42231,0.85922,0.98691,0.99819,0.995,0.77328,0.92033,0.39298,1.01338,0.000363239,0.000363239,0.000363239
81,85.5508,0.50929,0.41628,0.84704,0.98855,0.9983,0.995,0.78542,0.91643,0.38199,0.99687,0.000346736,0.000346736,0.000346736
82,86.6713,0.53563,0.40753,0.84908,0.99191,0.9988,0.995,0.77968,0.90793,0.37916,0.98635,0.000330233,0.000330233,0.000330233
83,87.6552,0.48227,0.39864,0.82649,0.99332,0.99928,0.995,0.7726,0.90116,0.3741,0.99006,0.000313729,0.000313729,0.000313729
84,88.6555,0.51674,0.41543,0.85256,0.99409,0.99988,0.995,0.77527,0.9011,0.36909,0.98819,0.000297226,0.000297226,0.000297226
85,89.6733,0.4846,0.39302,0.82961,0.99345,0.99962,0.995,0.77879,0.89757,0.36461,0.9953,0.000280723,0.000280723,0.000280723
86,90.6713,0.49751,0.38431,0.84094,0.99178,0.99891,0.995,0.77105,0.90475,0.36617,0.99612,0.00026422,0.00026422,0.00026422
87,91.6722,0.50216,0.40508,0.84696,0.99126,0.9988,0.995,0.76876,0.90677,0.36819,0.98842,0.000247716,0.000247716,0.000247716
88,92.6695,0.5201,0.40924,0.85088,0.99133,0.99878,0.995,0.76788,0.90427,0.36662,0.98981,0.000231213,0.000231213,0.000231213
89,93.6748,0.48429,0.38502,0.84214,0.99035,0.99857,0.995,0.76964,0.90707,0.36607,1.00049,0.00021471,0.00021471,0.00021471
90,94.6788,0.48183,0.37617,0.83886,0.99021,0.99854,0.995,0.76967,0.90652,0.35947,0.99797,0.000198206,0.000198206,0.000198206
