epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83346,1.2416,3.7333,1.13438,0.14529,0.3125,0.17018,0.1141,1.73401,3.34331,1.53133,5.001e-05,5.001e-05,5.001e-05
2,5.80651,1.26042,3.79778,1.14002,0.16188,0.32938,0.18944,0.12719,1.72824,3.38312,1.51315,0.000115535,0.000115535,0.000115535
3,7.93469,0.96954,1.99683,1.01678,0.99324,0.994,0.995,0.62366,1.28558,2.37161,1.18497,0.000179739,0.000179739,0.000179739
4,10.1864,0.9821,1.0437,0.98461,0.69612,0.953,0.81004,0.49605,1.37623,2.62693,1.19934,0.000242624,0.000242624,0.000242624
5,12.3209,0.92559,0.78319,0.96492,0.3656,0.92502,0.45184,0.32348,1.39731,12.023,1.31931,0.000304187,0.000304187,0.000304187
6,14.4343,0.94721,0.80118,0.97808,0.06049,0.8125,0.0611,0.04016,1.50393,33.57,1.40681,0.000364431,0.000364431,0.000364431
7,16.5513,0.90784,0.68858,0.98024,0.28332,0.73438,0.48719,0.33878,1.37136,9.26779,1.24792,0.000423355,0.000423355,0.000423355
8,18.6667,0.91141,0.6326,0.96067,0.19058,0.88764,0.21114,0.14812,1.38122,51.7736,1.30068,0.000480958,0.000480958,0.000480958
9,20.7813,0.92119,0.64235,0.98129,0.10836,0.42919,0.08868,0.05648,1.59806,25.1846,1.53808,0.000537241,0.000537241,0.000537241
10,22.9039,0.85137,0.61799,0.97502,0.46407,0.75,0.42459,0.29396,1.45364,20.5942,1.47098,0.000592203,0.000592203,0.000592203
11,25.0206,0.89162,0.56532,0.95568,0.78529,0.8383,0.77334,0.4564,1.49294,1.28658,1.44515,0.000645846,0.000645846,0.000645846
12,27.1584,0.86413,0.55232,0.97621,0.77961,0.83463,0.82461,0.45863,1.56988,1.19244,1.50319,0.000698168,0.000698168,0.000698168
13,29.2803,0.88234,0.60787,0.96791,0.66023,0.90589,0.64028,0.41683,1.36949,2.67339,1.38394,0.00074917,0.00074917,0.00074917
14,31.4014,0.87053,0.58335,0.97205,0.61657,0.87848,0.62656,0.43384,1.24225,4.13816,1.23671,0.000798851,0.000798851,0.000798851
15,33.507,0.82548,0.54691,0.9592,0.5745,0.75,0.56709,0.36261,1.53542,4.7891,1.56821,0.000847213,0.000847213,0.000847213
16,35.6212,0.82739,0.51162,0.95692,0.58439,0.85938,0.58184,0.40861,1.41137,4.18116,1.5322,0.000894254,0.000894254,0.000894254
17,37.7341,0.7714,0.55087,0.94713,0.55982,0.98438,0.55993,0.38072,1.37847,9.99898,1.49875,0.000939975,0.000939975,0.000939975
18,39.8449,0.80973,0.52584,0.9415,0.56594,0.96194,0.56642,0.38889,1.1674,10.891,1.23792,0.000984375,0.000984375,0.000984375
19,41.9605,0.82519,0.53755,0.93707,0.59545,0.93398,0.6025,0.35751,1.50711,5.06211,1.56604,0.00102746,0.00102746,0.00102746
20,44.0632,0.76873,0.49276,0.93707,0.96523,0.8384,0.94522,0.56384,1.45312,0.93757,1.62727,0.00106922,0.00106922,0.00106922
21,46.1588,0.76638,0.50278,0.94178,0.89054,0.87231,0.89072,0.54342,1.5306,0.82823,1.70215,0.00110966,0.00110966,0.00110966
22,48.2535,0.76546,0.46841,0.93332,0.95572,0.88674,0.90907,0.62879,1.16995,0.70726,1.20941,0.00114877,0.00114877,0.00114877
23,50.4371,0.77003,0.46471,0.92257,0.97909,0.92342,0.95817,0.61057,1.29054,0.83885,1.3079,0.00118657,0.00118657,0.00118657
24,52.5465,0.76413,0.45131,0.9302,1,0.92058,0.97667,0.67563,1.13158,0.85566,1.22132,0.00122305,0.00122305,0.00122305
25,54.7183,0.78022,0.48349,0.92632,0.98219,0.95312,0.97583,0.63521,1.28844,0.8084,1.33314,0.00125821,0.00125821,0.00125821
26,56.8131,0.77252,0.5523,0.92934,0.69474,0.98438,0.71198,0.42409,1.28034,0.94481,1.35906,0.00125442,0.00125442,0.00125442
27,58.9276,0.73532,0.50826,0.92332,0.72119,0.91373,0.81574,0.5172,1.34437,0.89246,1.44215,0.00123791,0.00123791,0.00123791
28,61.0276,0.72071,0.49307,0.91407,0.9932,0.90625,0.91625,0.61125,1.27643,0.83209,1.39446,0.00122141,0.00122141,0.00122141
29,63.1144,0.74045,0.48326,0.93163,0.99308,0.9142,0.93608,0.62199,1.28831,0.88022,1.3871,0.00120491,0.00120491,0.00120491
30,65.2139,0.73589,0.47652,0.94348,0.99272,0.95946,0.99167,0.62173,1.26542,0.71984,1.3503,0.0011884,0.0011884,0.0011884
31,67.3288,0.74929,0.47859,0.92103,0.97132,0.9375,0.96591,0.5975,1.27096,0.70101,1.38063,0.0011719,0.0011719,0.0011719
32,69.4289,0.73668,0.46516,0.92779,0.9522,0.95047,0.96371,0.68157,1.10516,0.63038,1.12544,0.0011554,0.0011554,0.0011554
33,71.6414,0.73499,0.43436,0.92987,0.99025,0.93475,0.96347,0.66798,1.15231,0.62641,1.17491,0.00113889,0.00113889,0.00113889
34,73.7653,0.72441,0.43414,0.9236,0.95153,0.92188,0.95468,0.6357,1.22221,0.66851,1.25455,0.00112239,0.00112239,0.00112239
35,75.886,0.69558,0.42776,0.90837,0.93388,0.76562,0.92496,0.61854,1.1943,1.03904,1.27915,0.00110589,0.00110589,0.00110589
36,78.0044,0.7185,0.42373,0.91498,0.96768,0.70312,0.76742,0.54012,1.06887,1.31094,1.11363,0.00108938,0.00108938,0.00108938
37,80.1132,0.73257,0.4266,0.90371,0.89536,0.67178,0.79155,0.54081,1.17634,1.33153,1.17677,0.00107288,0.00107288,0.00107288
38,82.2435,0.75847,0.43368,0.92637,0.93891,0.74407,0.93778,0.63728,1.21754,0.83004,1.23577,0.00105638,0.00105638,0.00105638
39,84.3643,0.7218,0.43466,0.91619,0.93846,0.86652,0.96147,0.59602,1.3325,0.82528,1.42371,0.00103987,0.00103987,0.00103987
40,86.4856,0.67894,0.42924,0.90908,0.9653,0.92188,0.96371,0.66561,1.1036,0.64735,1.16225,0.00102337,0.00102337,0.00102337
41,88.5985,0.71329,0.42446,0.91854,0.94444,0.94341,0.983,0.64322,1.17729,0.65965,1.24001,0.00100687,0.00100687,0.00100687
42,90.7248,0.69237,0.42307,0.90684,0.93822,0.95436,0.99082,0.64878,1.26412,0.71373,1.32118,0.000990365,0.000990365,0.000990365
43,92.8532,0.68442,0.40198,0.90323,0.97994,0.88296,0.99324,0.5996,1.37712,0.79943,1.42857,0.000973861,0.000973861,0.000973861
44,94.9621,0.68535,0.41483,0.90308,0.99237,0.96875,0.99324,0.63835,1.17804,0.62582,1.26602,0.000957358,0.000957358,0.000957358
45,97.072,0.68188,0.41834,0.89316,0.98375,0.96875,0.99324,0.6946,1.07032,0.50986,1.13706,0.000940855,0.000940855,0.000940855
46,99.2895,0.68371,0.41259,0.89914,0.98957,0.95312,0.98458,0.68835,1.10186,0.50703,1.18915,0.000924352,0.000924352,0.000924352
