epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,50.6427,0.71919,0.68794,0.94516,0.98167,1,0.98132,0.74137,0.86036,0.63743,1.08549,0.000990365,0.000990365,0.000990365
43,51.7572,0.77391,0.6659,0.95625,0.98115,1,0.98221,0.72582,0.9233,0.62128,1.09539,0.000973861,0.000973861,0.000973861
44,52.8539,0.78968,0.6775,0.97876,0.98126,1,0.98485,0.72606,0.93749,0.61855,1.13359,0.000957358,0.000957358,0.000957358
45,53.9587,0.72502,0.64612,0.92878,0.97753,1,0.98529,0.73526,0.84002,0.61405,1.06759,0.000940855,0.000940855,0.000940855
46,55.0838,0.74924,0.67937,0.96469,0.96584,1,0.98505,0.74696,0.8314,0.58486,1.02858,0.000924352,0.000924352,0.000924352
47,56.1998,0.73542,0.62496,0.95444,0.96286,1,0.98596,0.78723,0.75234,0.56759,0.99319,0.000907848,0.000907848,0.000907848
48,57.3373,0.69067,0.5954,0.94925,0.97686,0.99901,0.98353,0.77858,0.75441,0.53138,1.00269,0.000891345,0.000891345,0.000891345
49,58.4484,0.74803,0.61261,0.97445,0.97392,1,0.98176,0.75506,0.76669,0.51885,1.01498,0.000874842,0.000874842,0.000874842
50,59.5546,0.72291,0.61924,0.98412,0.97267,1,0.98037,0.76327,0.73275,0.52075,1.01014,0.000858338,0.000858338,0.000858338
51,60.6878,0.68512,0.61097,0.93038,0.96212,1,0.98096,0.7616,0.83844,0.51683,1.08508,0.000841835,0.000841835,0.000841835
52,61.8154,0.74471,0.61114,0.98885,0.96366,1,0.98088,0.75017,0.83643,0.53008,1.06403,0.000825332,0.000825332,0.000825332
53,62.9334,0.73276,0.66556,0.96453,0.97202,1,0.98088,0.7562,0.8523,0.56148,1.05684,0.000808828,0.000808828,0.000808828
54,64.0435,0.67417,0.58697,0.93096,0.97847,1,0.98397,0.754,0.8781,0.56954,1.08094,0.000792325,0.000792325,0.000792325
55,65.1563,0.68323,0.57317,0.93212,0.96225,1,0.98353,0.77631,0.83575,0.55281,1.04063,0.000775822,0.000775822,0.000775822
56,66.2651,0.66556,0.57187,0.9258,0.96763,1,0.9875,0.79225,0.78624,0.53556,1.02874,0.000759318,0.000759318,0.000759318
57,67.3943,0.7069,0.60451,0.96115,0.97001,1,0.98662,0.78527,0.7951,0.57923,1.04396,0.000742815,0.000742815,0.000742815
58,68.5161,0.65087,0.57424,0.93703,0.96207,1,0.97646,0.76256,0.81169,0.58841,1.05881,0.000726312,0.000726312,0.000726312
59,69.616,0.72743,0.60991,0.97196,0.95003,1,0.97573,0.73375,0.87431,0.62025,1.13405,0.000709809,0.000709809,0.000709809
60,70.7353,0.66402,0.55582,0.92786,0.93246,1,0.98574,0.74693,0.85904,0.58943,1.13749,0.000693305,0.000693305,0.000693305
61,71.8486,0.64345,0.51409,0.9233,0.95501,1,0.98357,0.74112,0.87112,0.54096,1.13815,0.000676802,0.000676802,0.000676802
62,72.9839,0.69011,0.55456,0.93746,0.96568,1,0.97267,0.75172,0.83827,0.50894,1.10211,0.000660299,0.000660299,0.000660299
63,74.0906,0.71533,0.55116,0.95288,0.96358,1,0.97517,0.74999,0.827,0.48097,1.07844,0.000643795,0.000643795,0.000643795
64,75.2137,0.66183,0.52356,0.94273,0.96033,0.99839,0.97671,0.7728,0.74668,0.46392,1.02748,0.000627292,0.000627292,0.000627292
65,76.3202,0.64748,0.53295,0.94275,0.96105,0.999,0.97795,0.768,0.76188,0.45178,1.02253,0.000610789,0.000610789,0.000610789
66,77.436,0.62915,0.50856,0.90778,0.96098,0.99846,0.97212,0.75885,0.79491,0.4581,1.04417,0.000594286,0.000594286,0.000594286
67,78.5551,0.6723,0.51348,0.94112,0.96194,1,0.97109,0.76552,0.77118,0.46233,1.03537,0.000577782,0.000577782,0.000577782
68,79.6681,0.59164,0.50837,0.88829,0.95903,1,0.97455,0.76171,0.77381,0.45341,1.03974,0.000561279,0.000561279,0.000561279
69,80.7806,0.60217,0.49372,0.91237,0.96241,1,0.97949,0.7712,0.77683,0.43847,1.02919,0.000544776,0.000544776,0.000544776
70,81.889,0.63183,0.48636,0.9292,0.96434,1,0.99001,0.79176,0.76083,0.43753,1.02574,0.000528272,0.000528272,0.000528272
71,82.9997,0.63089,0.5008,0.9095,0.96568,1,0.99146,0.78121,0.74402,0.43369,1.01905,0.000511769,0.000511769,0.000511769
72,84.1052,0.64386,0.4856,0.92678,0.96626,1,0.99005,0.80399,0.71423,0.4078,1.00746,0.000495266,0.000495266,0.000495266
73,85.2339,0.64096,0.46392,0.90126,0.97467,1,0.98618,0.8196,0.73598,0.4296,1.01425,0.000478762,0.000478762,0.000478762
74,86.3719,0.60112,0.48185,0.92608,0.9765,1,0.98574,0.80772,0.72212,0.4174,1.00237,0.000462259,0.000462259,0.000462259
75,87.4781,0.5874,0.48128,0.91784,0.9776,1,0.98574,0.80299,0.74833,0.42397,1.01053,0.000445756,0.000445756,0.000445756
76,88.5809,0.60743,0.48235,0.94053,0.97765,1,0.98485,0.8186,0.72049,0.41262,0.99855,0.000429253,0.000429253,0.000429253
77,89.684,0.62348,0.48778,0.90567,0.97849,1,0.98221,0.81728,0.71984,0.41781,0.9916,0.000412749,0.000412749,0.000412749
78,90.7816,0.61398,0.48892,0.93195,0.97635,0.99752,0.98397,0.80865,0.72798,0.42645,0.99128,0.000396246,0.000396246,0.000396246
79,91.8963,0.62217,0.4826,0.92791,0.97637,1,0.98662,0.79349,0.71255,0.40603,0.97486,0.000379743,0.000379743,0.000379743
80,93.0075,0.62885,0.45775,0.91601,0.97732,0.99989,0.99015,0.79993,0.7021,0.40047,0.96985,0.000363239,0.000363239,0.000363239
81,94.0994,0.61034,0.44942,0.90618,0.97649,1,0.99279,0.81702,0.68719,0.38517,0.95949,0.000346736,0.000346736,0.000346736
82,95.2088,0.56483,0.4401,0.90612,0.97742,1,0.99368,0.82525,0.68399,0.38049,0.95729,0.000330233,0.000330233,0.000330233
83,96.3451,0.60283,0.46503,0.90856,0.9775,1,0.99368,0.81203,0.69126,0.38573,0.95522,0.000313729,0.000313729,0.000313729
84,97.4679,0.62931,0.47425,0.9373,0.97649,1,0.99059,0.81693,0.68598,0.38109,0.95761,0.000297226,0.000297226,0.000297226
85,98.5749,0.56601,0.46996,0.91345,0.97511,1,0.98926,0.81644,0.7046,0.38634,0.97217,0.000280723,0.000280723,0.000280723
86,99.6874,0.5698,0.4448,0.89451,0.97546,1,0.99103,0.81159,0.72323,0.38844,0.98885,0.00026422,0.00026422,0.00026422
87,100.792,0.59025,0.44926,0.8931,0.97708,1,0.98706,0.81829,0.72311,0.38716,0.98814,0.000247716,0.000247716,0.000247716
88,101.901,0.56494,0.44844,0.91444,0.97787,1,0.98574,0.81202,0.70808,0.38998,0.97274,0.000231213,0.000231213,0.000231213
